               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.031471,            0.023292,            0.004466,             0.74012,             0.65074,             0.67985,             0.51077,            0.045654,            0.019962,            0.013929,            0.002872,            0.002872,            0.002872
                  38,            0.031271,            0.022666,           0.0042965,             0.75098,             0.65148,              0.6802,             0.50992,            0.045747,            0.020122,            0.013748,            0.002674,            0.002674,            0.002674
                  39,            0.030871,            0.022704,           0.0042087,             0.76614,             0.63477,             0.67862,             0.51411,            0.045389,            0.019874,            0.013626,            0.002476,            0.002476,            0.002476
                  40,            0.030407,            0.022122,           0.0040616,             0.73633,             0.66107,             0.68258,             0.51311,            0.045333,            0.019949,            0.013401,            0.002278,            0.002278,            0.002278
                  41,            0.030069,            0.021709,           0.0039533,             0.73187,             0.65837,             0.68143,              0.5141,            0.045495,            0.020089,            0.013333,             0.00208,             0.00208,             0.00208
                  42,            0.029812,            0.021669,           0.0040037,             0.74451,             0.65601,              0.6858,             0.51645,            0.045164,            0.020084,            0.013499,            0.001882,            0.001882,            0.001882
                  43,            0.029299,            0.021224,           0.0037006,             0.71653,             0.66314,             0.67867,             0.51548,            0.045515,            0.020291,            0.013778,            0.001684,            0.001684,            0.001684
                  44,            0.029438,            0.021423,           0.0037929,             0.74965,             0.64053,             0.67701,             0.51211,             0.04568,            0.020571,            0.013906,            0.001486,            0.001486,            0.001486
                  45,            0.028965,            0.021111,           0.0035605,             0.73945,             0.64346,             0.67889,              0.5153,            0.045582,            0.020661,            0.014182,            0.001288,            0.001288,            0.001288
                  46,            0.028283,            0.020835,           0.0032655,             0.78489,             0.64064,             0.68373,             0.51947,            0.045701,            0.020525,            0.014057,             0.00109,             0.00109,             0.00109
                  47,             0.02843,            0.020687,           0.0034338,             0.75836,             0.64916,              0.6887,             0.52029,            0.045496,            0.020558,            0.013805,            0.000892,            0.000892,            0.000892
                  48,            0.027972,            0.020605,           0.0032592,             0.77896,             0.64684,              0.6844,             0.51993,            0.045456,            0.020746,            0.014049,            0.000694,            0.000694,            0.000694
                  49,            0.027817,             0.02039,           0.0033032,             0.74613,              0.6574,             0.68188,             0.52017,            0.045428,            0.020828,            0.013962,            0.000496,            0.000496,            0.000496
